V1,V2,V3,V4,V5,V6
0.11985108,0.07946986,0.067325856,0.133166222,0.069467504,0.095440054
0.110563119,0.081981139,0.06071608,0.146178778,0.071369298,0.102151893
0.122954845,0.070700579,0.051889089,0.116159096,0.070273728,0.101022925
0.089136713,0.085304756,0.054557069,0.115085191,0.075117429,0.110293664
0.089997294,0.086209366,0.053750946,0.113558093,0.075149947,0.109291918
0.094915848,0.087046988,0.056129361,0.114224159,0.076107725,0.108745862
0.091303374,0.085192305,0.053451081,0.111723924,0.074723779,0.108237438
0.090860478,0.086192773,0.05522621,0.111550228,0.074930566,0.108596571
0.096833885,0.085707016,0.05585613,0.11792887,0.074928499,0.108116106
0.077642947,0.072190305,0.041386636,0.109890097,0.067785903,0.113271253
0.070254805,0.08833805,0.060174361,0.114365895,0.070342468,0.114220411